"yyyymm"	"Cnsmr"	"Manuf"	"HiTec"	"Hlth"	"Other"	"b.m"	"ntis"	"infl"
197811	1.86	4.06	4.25	5.18	2.51	1.053527402	0.0141137586	0.0044709389
197812	0.35	1.46	3.93	3.42	1.31	1.0457012956	0.014874873	0.0044510386
197901	4.85	5.25	4.06	1.42	6.07	1.0030742833	0.0144498818	0.0088626292
197902	-3.76	-2.26	-2.29	-4.52	-3.27	1.0407754507	0.0122924822	0.0117130307
197903	5.39	7.04	4.75	5.05	8.18	1.0330789394	0.0117314337	0.010130246
197904	1.23	0.83	-0.57	0.42	1.55	1.0418762428	0.0116311825	0.0114613181
197905	-1.68	-1.66	-1.23	-2.64	-0.07	1.0831418044	0.0142453913	0.0127478754
197906	3.09	5.76	1.02	4.83	6.99	1.0578636072	0.0121279927	0.0111888112
197907	1.8	1.95	-1	0.14	3.3	1.0523144538	0.009737203	0.0110650069
197908	7	6.68	4.31	8.54	5.84	1.0034586483	0.0116042572	0.0095759234
197909	-0.86	1.45	-1.99	-0.54	-0.68	1.0137949874	0.0094391713	0.0108401084
197910	-8.55	-5.84	-6.76	-4.34	-10.15	1.0919455682	0.0102475283	0.0080428954
197911	2.48	7.01	6.66	8.75	7.01	1.0831154618	0.0108146796	0.0093085106
197912	3.26	2.79	0.6	2.08	4.14	1.061950068	0.0105492993	0.0105401845
198001	4.21	9.04	4.07	-1.29	5.5	1.016954958	0.0112974707	0.0143415906
198002	-5.26	3.74	-2.87	-4.63	-3.33	1.0319299303	0.0108271852	0.0141388175
198003	-8.44	-13.81	-9.33	-2.84	-12.24	1.0937321031	0.0118773964	0.0152091255
198004	3.08	6.16	3.07	4.28	6.05	1.0518199398	0.015346805	0.0112359551
198005	7.66	4.98	4.89	6.96	8.11	1.0100487748	0.0150518225	0.0098765432
198006	2.75	4.25	1.69	0.21	5.16	0.990183427	0.0153043513	0.011002445
198007	9.71	4.86	10.2	8.89	6.64	0.9188299192	0.0201540079	0
198008	1.61	2.18	4.56	0.3	2.67	0.9215196389	0.0199498051	0.0072551391
198009	0.69	4.26	0.79	3.6	3.64	0.9216876515	0.0237960484	0.0084033613
198010	-0.85	4.09	0.23	-1.29	1.56	0.9295936138	0.0227691948	0.0095238095
198011	2.63	15.98	6.67	8.81	7.38	0.8651619788	0.0219492827	0.008254717
198012	-0.34	-6.56	-0.63	4.61	-0.72	0.8915030239	0.026816359	0.0093567251
198101	0.32	-6.18	-4.28	-1.57	-2.56	0.9072386965	0.0286954236	0.0081112399
198102	3.7	1.32	1	1.85	1.71	0.8818157565	0.0300093719	0.0103448276
198103	8.64	1.65	3.83	5.87	8.45	0.9249205574	0.0279393407	0.0068259386
198104	1.89	-3.97	1.97	3	0.93	0.9305938361	0.027352052	0.006779661
198105	2.73	-1.56	5.14	3.47	2.52	0.9362238467	0.028844656	0.0078563412
198106	-1.77	1.87	-5.16	-5.58	-0.97	0.9504749816	0.0278934748	0.008908686
198107	-2.1	2.65	-2.45	-3.89	-2.69	0.9749669236	0.0255902546	0.0110375276
198108	-5.92	-5.72	-5.15	-7.75	-5.49	1.0533540563	0.0269917876	0.0076419214
198109	-2.89	-9.14	-1.62	-1.33	-5.46	1.0923786442	0.0214833694	0.0097508126
198110	4.14	6.58	5.46	7.95	7.15	1.0890856841	0.0148971076	0.0021459227
198111	2.68	5.69	1.93	3.93	5.08	1.0444554433	0.0156728254	0.0032119914
198112	-1.35	-3.85	-0.53	-0.75	-3.74	1.0611428571	0.0119096731	0.0032017076
198201	-0.02	-5.06	2.03	1.45	-3.25	1.0658936976	0.010700506	0.0031914894
198202	-1.8	-6.94	-5.39	-1.8	-3.92	1.1262873155	0.0105061086	0.0031813362
198203	3.33	-1.79	-1.63	-2.58	-1.3	1.1857505743	0.0055484327	-0.0010570825
198204	5.7	3.75	4.71	7.34	3.71	1.1499834976	0.0029236858	0.0042328042
198205	-2.68	-1.11	-3.98	-3.05	-5.47	1.1904238963	-0.0009581844	0.009483667
198206	2.36	-4.04	-2.4	-0.73	-2.43	1.2015814171	0.0012130304	0.012526096
198207	-0.25	-4.47	1.43	0.81	-3.02	1.2065298046	-0.0115518915	0.0051546392
198208	11.45	11.97	12.13	12.38	11.33	1.082424471	-0.0028576304	0.0020512821
198209	3.49	0.48	1.14	1.34	4.16	1.0885355649	0.0005507087	0.0020470829
